"";"year";"ifs";"pop";"rgdpmad";"rgdppc";"rconpc";"gdp";"iy";"cpi";"ca";"imports";"exports";"narrowm";"money";"stir";"ltrate";"debtgdp";"revenue";"expenditure";"xrusd";"peg";"peg_strict";"crisisJST";"tloans";"tmort";"thh";"tbus";"hpnom";"peg_type";"peg_base";"eq_tr";"housing_tr";"bond_tr";"bill_rate";"rent_ipolated";"housing_capgain_ipolated";"housing_capgain";"housing_rent_rtn";"housing_rent_yd";"eq_capgain";"eq_dp";"eq_capgain_interp";"eq_tr_interp";"eq_dp_interp";"bond_rate";"eq_div_rtn";"capital_tr";"risky_tr";"safe_tr";"COUNTRY";"geo";"Yd_hh"
"1";1870;193;1775;3273,23943661972;13,8361565577557;21,4497342475673;208,78;0,1092656;2,708333;-6,147594;36;37;23,3;54,3;4,88;4,911817;0,172568;NA;NA;0,366946147065456;1;1;0;54,792;1,68;1,68;53,112;0,492252613624;"PEG";"GBR";-0,00490389531478286;NA;NA;0,0487999990582466;NA;NA;NA;NA;NA;-0,0700454339385033;0,0714170336723328;NA;NA;NA;0,0491181686520576;0,0664145946502686;NA;NA;NA;"Australia";"AU";NA
"2";1871;193;1675;3298,50746268657;13,9368644901559;19,9308012799716;211,56;0,1045791;2,666667;5,260774;34;46;27,2;59,5;4,6;4,844633;0,191799;NA;NA;0,369146449584912;1;1;0;53,748;1,766;1,766;51,982;0,469877494822909;"PEG";"GBR";0,110192969441414;NA;NA;0,046000000089407;NA;NA;-0,045456301420927;NA;NA;0,0416536293923855;0,0654663816094398;NA;NA;NA;0,0484463311731815;0,068193294107914;NA;NA;NA;"Australia";"AU";NA
"3";1872;193;1722;3553,4262485482;15,044246890548;21,0850056626431;227,4;0,130438;2,541667;7,867636;38;53;36,2;68,5;4,6;4,73735;0,15492;NA;NA;0,369238809270165;1;1;0;55,822;1,47;1,47;54,352;0,484794240690303;"PEG";"GBR";0,176749303936958;NA;NA;0,046000000089407;NA;NA;0,0317466072738171;NA;NA;0,108945474028587;0,0629973486065865;NA;NA;NA;0,0473734997212887;0,0698606222867966;NA;NA;NA;"Australia";"AU";NA
"4";1873;193;1769;3823,62916902205;16,2194426725563;23,2549099020655;266,54;0,1249862;2,541667;-11,0478328;49;50;38,6;73,7;4,4;4,671958;0,142692;NA;NA;0,362404775783401;1;1;0;65,38;1,364;1,364;64,016;0,469877494822909;"PEG";"GBR";0,151685819029808;NA;NA;0,0439999997615814;NA;NA;-0,0307697709649801;NA;NA;0,0830864682793617;0,0644841864705086;NA;NA;NA;0,0467195808887482;0,0698419511318207;NA;NA;NA;"Australia";"AU";NA
"5";1874;193;1822;3834,79692645445;16,268227821719;23,4580498734157;287,58;0,1419599;2,666667;-5,5639588;49;54;37,9;79,3;4,5;4,653317;0,194322;NA;NA;0,372223455121351;1;1;0;71,478;1,434;1,434;70,044;0,56683634296097;"PEG";"GBR";0,191481396555901;NA;NA;0,0450000017881393;NA;NA;0,206349745392799;NA;NA;0,119388863444328;0,0635029599070549;NA;NA;NA;0,0465331710875034;0,0710845068097115;NA;NA;NA;"Australia";"AU";NA
"6";1875;193;1874;4138,20704375667;17,5921069732709;25,6695054706143;300,74;0,160564;2,75;-7,9087368;50;52;37,5;88,5;4,6;4,507325;0,233687;NA;NA;0,360925615833115;1;1;0;79,954;1,564;1,564;78,39;0,56683634296097;"PEG";"GBR";0,12440787255764;NA;NA;0,046000000089407;NA;NA;0;NA;NA;0,0570587292313576;0,0636429786682129;NA;NA;NA;0,0450732484459877;0,0672743692994118;NA;NA;NA;"Australia";"AU";NA
"7";1876;193;1929;4007,25764644894;17,0190332916129;24,806160592376;311,26;0,1678778;2,791667;-6,9521128;48;51;38,2;95,8;4,6;4,565908;0,158506;NA;NA;0,372021707991204;1;1;0;86,206;1,86;1,86;84,346;0,522086105358788;"PEG";"GBR";0,118814565241337;NA;NA;0,046000000089407;NA;NA;-0,0789470002055168;NA;NA;0,0541035495698452;0,0602225810289383;NA;NA;NA;0,0456590801477432;0,0634808391332626;NA;NA;NA;"Australia";"AU";NA
"8";1877;193;1995;4036,09022556391;17,1456520086306;25,2170573526071;313,66;0,2099336;2,875;-14,6247988;52;51;40,2;105,7;4,5;4,38885;0,176092;NA;NA;0,399910679848156;1;1;0;101,036;2,42;2,42;98,616;0,522086105358788;"PEG";"GBR";0,136591374874115;NA;NA;0,0450000017881393;NA;NA;0;NA;NA;0,0744419693946838;0,0573054701089859;NA;NA;NA;0,0438885018229485;0,0615714006125927;NA;NA;NA;"Australia";"AU";NA
"9";1878;193;2062;4277,40058195926;18,2052613998842;26,5605512540367;324,3;0,181141;2,833333;-16,3359228;52;50;38,7;106,2;4,8;4,4428;0,172852;NA;NA;0,412572881150766;1;1;0;106,648;2,754;2,754;103,894;0,589211461762061;"PEG";"GBR";-0,0789373591542244;NA;NA;0,0480000004172325;NA;NA;0,128570765256882;NA;NA;-0,132736518979073;0,0644804686307907;NA;NA;NA;0,0444279983639717;0,0559215545654297;NA;NA;NA;"Australia";"AU";NA
"10";1879;193;2127;4204,98354489892;17,8872470043049;26,5189998962605;334,44;0,1615086;2,75;-12,3326728;48;44;37,2;108,3;4,9;4,60335;0,208934;NA;NA;0,415088256629322;1;1;0;102,726;2,9;2,9;99,826;0,604128207629455;"PEG";"GBR";0,124135859310627;NA;NA;0,0489999987185001;NA;NA;0,0253169070929289;NA;NA;0,0600704997777939;0,0604167878627777;NA;NA;NA;0,046033501625061;0,0640460550785065;NA;NA;NA;"Australia";"AU";NA
"11";1880;193;2197;4285,38916704597;18,240585086726;25,6695054706143;344,32;0,1764724;2,666667;0,785789200000001;46;59;44,6;114,8;4,7;4,409408;0,222212;NA;NA;0,412522538985436;1;1;0;94,008;2,996;2,996;91,012;0,574294715894667;"PEG";"GBR";0,114237383008003;NA;NA;0,0469999983906746;NA;NA;-0,0493819192051888;NA;NA;0,0541498027741909;0,0568457618355751;NA;NA;NA;0,0440940782427788;0,0599239468574524;NA;NA;NA;"Australia";"AU";NA
"12";1881;193;2269;4454,82591449978;18,9854189304776;27,7886247171992;362,82;0,2123455;2,625;-20,8488468;58;54;57,3;134;4,7;3,7815;0,232202;NA;NA;0,415874878239073;1;1;0;115,8;3,834;3,834;111,966;0,574294715894667;"PEG";"GBR";0,0726945251226425;NA;NA;0,0469999983906746;NA;NA;0;NA;NA;0,0200019460171461;0,0519004501402378;NA;NA;NA;0,0378150008618832;0,052938561886549;NA;NA;NA;"Australia";"AU";NA
"13";1882;193;2348;4062,60647359455;17,2556716292527;26,8514107584699;382,32;0,1805267;2,666667;-30,3118248;72;57;55,6;149,3;4,5;3,8220916;0,23255;NA;NA;0,412436526322165;1;1;0;144,204;4,328;4,328;139,876;0,598907346575867;"PEG";"GBR";0,0903042107820511;NA;NA;0,0450000017881393;NA;NA;0,0428560227155685;NA;NA;0,0370067059993744;0,0507860071957111;NA;NA;NA;0,0382209159433842;0,0526654310524464;NA;NA;NA;"Australia";"AU";NA
"14";1883;193;2447;4475,27584797712;19,0823819447885;28,615035055192;412,1;0,187123;2,958333;-26,8269116;71;63;52,4;155,9;4,7;4,016817;0,24091;NA;NA;0,413176321354811;1;1;0;156,068;4,946;4,946;151,122;0,623519977257067;"PEG";"GBR";0,287164986133575;NA;NA;0,0469999983906746;NA;NA;0,041096530854702;NA;NA;0,218999996781349;0,0559187904000282;NA;NA;NA;0,0401681698858738;0,0681650042533875;NA;NA;NA;"Australia";"AU";NA
"15";1884;193;2556;4303,59937402191;18,3177101565641;28,0379328638562;430,46;0,2035062;3;-32,1199336;74;55;56,6;171,9;4,9;3,996425;0,293268;NA;NA;0,413796750724386;1;1;0;166,832;5,052;5,052;161,78;0,656336818165333;"PEG";"GBR";0,0439999997615814;NA;NA;0,0489999987185001;NA;NA;0,0526318326592445;NA;NA;-0,017000000923872;0,0620549283921719;NA;NA;NA;0,0399642512202263;0,0609999932348728;NA;NA;NA;"Australia";"AU";NA
"16";1885;193;2650;4422,2641509434;18,841391405045;28,850492749257;441,62;0,1862147;3;-48,4419816;80;53;61,8;182,9;4,8;4,03225;0,312289;NA;NA;0,413094660508596;1;1;0;184,046;5,428;5,428;178,618;0,6891536590736;"PEG";"GBR";0,113000005483627;NA;NA;0,0480000004172325;NA;NA;0,0500002279877663;NA;NA;0,0469999983906746;0,063037246465683;NA;NA;NA;0,0403225012123585;0,0659999996423721;NA;NA;NA;"Australia";"AU";NA
"17";1886;193;2741;4329,44180955856;18,4322844072948;28,5642500623544;452,9;0,2182139;3;-44,0124736;68;42;58,5;186,3;4,7;4,01905;0,342074;NA;NA;0,412125008341161;1;1;0;191,218;5,9;5,9;185,318;0,730174710208933;"PEG";"GBR";0,0290000010281801;NA;NA;0,0469999983906746;NA;NA;0,0595237053930759;NA;NA;-0,0359999984502792;0,0674273893237114;NA;NA;NA;0,0401904992759228;0,0650000050663948;NA;NA;NA;"Australia";"AU";NA
"18";1887;193;2835;4631,74603174603;19,7635521810227;30,2863230013003;472,52;0,2019936;2,916667;-30,0829576;59;48;66,3;199,7;4,6;3,5752833;0,325023;NA;NA;0,414471682055883;1;1;0;198,792;5,958;5,958;192,834;0,779399971571333;"PEG";"GBR";0,282000005245209;NA;NA;0,046000000089407;NA;NA;0,0674153491854668;NA;NA;0,206000000238419;0,0630182400345802;NA;NA;NA;0,0357528328895569;0,0759999975562096;NA;NA;NA;"Australia";"AU";NA
"19";1888;193;2932;4503,7517053206;19,1986768335601;28,9151281946866;503,06;0,210911;2,791667;-43,7032436;74;58;75,3;218,6;4,6;3,3496417;0,328934;NA;NA;0,412902964534157;1;1;0;230,834;6,888;6,888;223,946;0,853237863614933;"PEG";"GBR";0,261999994516373;NA;NA;0,046000000089407;NA;NA;0,0947369784116745;NA;NA;0,194999992847443;0,0560669451951981;NA;NA;NA;0,0334964171051979;0,0670000016689301;NA;NA;NA;"Australia";"AU";NA
"20";1889;193;3022;4746,85638649901;20,2667882010163;30,129351205257;535,74;0,1861224;2,791667;-41,2276556;73;59;71,7;227,5;4,5;3,4856584;0,321197;NA;NA;0,411773938644442;1;1;0;247,648;8,418;8,418;239,23;0,943484176112667;"PEG";"GBR";-0,0109999999403954;NA;NA;0,0450000017881393;NA;NA;0,105768844485283;NA;NA;-0,068000003695488;0,061158798635006;NA;NA;NA;0,0348565839231014;0,0570000000298023;NA;NA;NA;"Australia";"AU";NA
"21";1890;193;3107;4457,67621499839;18,9973621827622;27,9779142359573;552,72;0,1699273;2,791667;-43,1893216;72;56;74;236,5;4,3;3,55445;0,346874;NA;NA;0,412770426667008;1;1;0;259,628;9,51;9,51;250,118;0,820421022706667;"PEG";"GBR";0,0139999995008111;NA;NA;0,0430000014603138;NA;NA;-0,130434647202492;NA;NA;-0,0480000004172325;0,0651260539889336;NA;NA;NA;0,0355444997549057;0,0620000027120113;NA;NA;NA;"Australia";"AU";NA
"22";1891;193;3196;4666,45807259074;19,9126404065759;28,5088482519862;540,3;0,1954487;2,75;-27,7307896;75;79;69,5;238,7;4,3;3,5774917;0,373381;NA;NA;0,413350538984495;1;1;0;264,274;9,8;9,8;254,474;0,8122168124796;"PEG";"GBR";-0,103999994695187;NA;NA;0,0430000014603138;NA;NA;-0,00999974366277456;NA;NA;-0,158999994397163;0,0653983354568481;NA;NA;NA;0,0357749164104462;0,0549999997019768;NA;NA;NA;"Australia";"AU";NA
"23";1892;193;3274;3995,41844838119;16,9793574026673;23,8320120934013;495,7;0,1367057;2,708333;-14,7066856;60;69;67,1;240,6;4,3;3,652375;0,440705;NA;NA;0,412314509187849;1;1;0;261,668;9,906;9,906;251,762;0,6645410283924;"PEG";"GBR";0,063000001013279;NA;NA;0,0430000014603138;NA;NA;-0,181818410754204;NA;NA;-0,00699999975040555;0,0704934522509575;NA;NA;NA;0,0365237481892109;0,0700000002980232;NA;NA;NA;"Australia";"AU";NA
"24";1893;193;3334;3707,85842831434;15,734931243009;20,7849125231485;431,1;0,1115229;2,625;3,633608;48;72;60,5;217,8;4,2;3,72025;0,517097;NA;NA;0,413171496332311;1;1;1;235,184;9,802;9,802;225,382;0,5414778749864;"PEG";"GBR";-0,0490000024437904;NA;NA;0,0419999994337559;NA;NA;-0,185184955596924;NA;NA;-0,113000005483627;0,0721533223986626;NA;NA;NA;0,037202499806881;0,0639999955892563;NA;NA;NA;"Australia";"AU";NA
"25";1894;193;3395;3765,53755522828;15,9841201169479;20,7802957056178;401,2;0,1194606;2,458333;-0,183372;46;69;65;216,6;3,9;3,573975;0,548581;NA;NA;0,412411576694289;1;1;0;223,326;9,632;9,632;213,694;0,4676399829428;"PEG";"GBR";0,106000006198883;NA;NA;0,0390000008046627;NA;NA;-0,136363804340363;NA;NA;0,0290000010281801;0,0748299285769463;NA;NA;NA;0,0357397496700287;0,0769999995827675;NA;NA;NA;"Australia";"AU";NA
"26";1895;193;3460;3487,28323699422;14,7803819862594;19,2521291029607;385,62;0,110825;2,291667;-12,07745;59;73;74,4;222,3;3,6;3,0679083;0,600855;NA;NA;0,411042847082613;1;1;0;207,882;9,262;9,262;198,62;0,410210511353333;"PEG";"GBR";0,20100000500679;NA;NA;0,0359999984502792;NA;NA;-0,122806005179882;NA;NA;0,126000002026558;0,0666074603796005;NA;NA;NA;0,0306790824979544;0,0750000029802322;NA;NA;NA;"Australia";"AU";NA
"27";1896;193;3523;3684,92761850695;15,6333123845872;21,6482574013868;400,82;0,129618;2,291667;-15,21394;64;76;81;226,4;3,3;2,6616667;0,53442;NA;NA;0,413049868894232;1;1;0;205,668;9,114;9,114;196,554;0,4676399829428;"PEG";"GBR";0,017000000923872;NA;NA;0,0329999998211861;NA;NA;0,139998689293861;NA;NA;-0,0370000004768372;0,0560747608542442;NA;NA;NA;0,0266166664659977;0,0539999939501286;NA;NA;NA;"Australia";"AU";NA
"28";1897;193;3586;3419,96653653095;14,489088087317;18,1117751728813;417,8;0,1004498;2,291667;-12,21109;63;82;80,2;222,5;3,1;2,5364;0,581306;NA;NA;0,41296490291977;1;1;0;196,532;8,898;8,898;187,634;0,533273664759333;"PEG";"GBR";0,0850000008940697;NA;NA;0,0309999994933605;NA;NA;0,140351548790932;NA;NA;0,0299999993294477;0,0533980578184128;NA;NA;NA;0,0253640003502369;0,0549999997019768;NA;NA;NA;"Australia";"AU";NA
"29";1898;193;3642;3891,26853377265;16,5170118396483;22,0222196213723;441,24;0,1270017;2,25;-23,801458;83;88;79,2;219,7;3;2,6442333;0,510976;NA;NA;0,416281521970058;1;1;0;183,974;9,364;9,364;174,61;0,508661034078133;"PEG";"GBR";0,155000001192093;NA;NA;0,0299999993294477;NA;NA;-0,046154510229826;NA;NA;0,0969999954104424;0,0528714694082737;NA;NA;NA;0,0264423321932554;0,0580000020563602;NA;NA;NA;"Australia";"AU";NA
"30";1899;193;3691;3839,60986182606;16,2948471043534;22,3684809361738;477,6;0,1274656;2,375;10,528426;69;104;88,5;233,2;3,1;2,6498583;0,514194;NA;NA;0,415517473399598;1;1;0;178,988;9,972;9,972;169,016;0,492252613624;"PEG";"GBR";0,12100000679493;NA;NA;0,0309999994933605;NA;NA;-0,0322572402656078;NA;NA;0,0670000016689301;0,0506091862916946;NA;NA;NA;0,0264985822141171;0,0540000014007092;NA;NA;NA;"Australia";"AU";NA
"31";1900;193;3741;4013,3654103181;17,0422112981653;23,9058811738922;492,42;0,1210629;2,416667;-14,2625044224877;85;98;89,8;243,2;3,1;2,9320333;0,509085;NA;NA;0,415504364152024;1;1;0;181,37;10,084;10,084;171,286;0,557886295440533;"PEG";"GBR";0,122000001370907;NA;0,0199678726494312;0,0309999994933605;NA;NA;0,133331850171089;NA;NA;0,0700000002980232;0,048598125576973;NA;NA;NA;0,0293203331530094;0,051999993622303;NA;NA;0,0254839360713959;"Australia";"AU";NA
"32";1901;193;3795;3838,73517786561;16,2899888322377;22,8507;504,56;0,1312649;2,458333;-19,5129117887562;81;98;93,5;251;2,88;3,2178083;0,467679;NA;NA;0,415084114894798;1;1;0;182,96;10,252;10,252;172,708;0,611382241578667;"PEG";"GBR";-0,0320000015199184;0,131750598549843;0,00193682638928294;0,0287999995052814;NA;NA;0,0958905592560768;0,0358600355684757;0,0327222794294357;-0,0790000036358833;0,0510314889252186;NA;NA;NA;0,0321780815720558;0,0470000021159649;0,0706325769424438;0,0969678908586502;0,0153684131801128;"Australia";"AU";NA
"33";1902;193;3850;3822,5974025974;16,2204548125805;23,0631;534,66;0,1554054;2,625;-19,5222;77;85;93,7;257,1;2,88;3,347825;0,464439;22;7,8;0,415271381126602;1;1;0;182,406;10,522;10,522;171,884;0,5960976855392;"PEG";"GBR";0,156000003218651;0,00772317871451378;0,00496363500133157;0,0287999995052814;NA;NA;-0,024999100714922;0,0327222794294357;0,0335612818598747;0,0980000048875809;0,0528233163058758;NA;NA;NA;0,0334782488644123;0,0580000020563602;0,0314047783613205;0,0387187339365482;0,0168818179517984;"Australia";"AU";NA
"34";1903;193;3896;4076,23203285421;17,3096186925384;23,5522;515,4;0,1588785;2,666667;-24,6527;71;94;93;256,2;3,13;3,62;0,497428;24;8,6;0,415516490704353;1;1;0;184,358;11,568;11,568;172,79;0,580813129499733;"PEG";"GBR";0,218999996781349;0,00813194178044796;-0,0148575734347105;0,031300000846386;NA;NA;-0,0256417561322451;0,033773697912693;0,0346625037491322;0,158999994397163;0,0517687648534775;NA;NA;NA;0,0362000018358231;0,0599999986588955;0,0381091721355915;0,053526982665062;0,00822121370583773;"Australia";"AU";NA
"35";1904;193;3946;4294,72883933097;18,2492894909335;24,6377;539,48;0,1160714;2,541667;3,5857;67;113;90,2;257,6;3,25;3,963792;0,478772;24;8,6;0,414639238869803;1;1;0;182,28;11,85;11,85;170,43;0,557886295440533;"PEG";"GBR";0,0750000029802322;-0,00437546893954277;0,0138433072715998;0,0324999988079071;NA;NA;-0,0394739769399166;0,0350985080003738;0,0365409217774868;0,0219999998807907;0,0518590956926346;NA;NA;NA;0,0396379195153713;0,0529999956488609;0,0161285866051912;0,0124530475586653;0,0231716521084309;"Australia";"AU";NA
"36";1905;193;4004;4281,96803196803;18,1943302876236;24,9941;534,66;0,1058559;2,541667;29,8327;70;110;92,1;270,8;3,25;3,7524333;0,491269;22;9;0,414881457167962;1;1;0;178,254;12,124;12,124;166,13;0,5502440174208;"PEG";"GBR";0,145999997854233;0,0232967063784599;0,0885762125253677;0,0324999988079071;NA;NA;-0,0136981392279267;0,0369948446750641;0,0375086441636086;0,0949999988079071;0,046575341373682;NA;NA;NA;0,0375243313610554;0,0509999990463257;0,0555782057344913;0,0530476868152618;0,0605381056666374;"Australia";"AU";NA
"37";1906;193;4062;4507,38552437223;19,165984710781;24,2845;576,82;0,1106472;2,583333;38,8158;81;135;100,5;292,8;3,25;3,4622833;0,47075;24;10;0,414946472351134;1;1;0;181,94;12,032;12,032;169,908;0,580813129499733;"PEG";"GBR";0,101999998092651;0,0939844623208046;0,0795441940426826;0,0324999988079071;NA;NA;0,0555553548038006;0,038429107517004;0,0364065282046795;0,0580000020563602;0,0415879003703594;NA;NA;NA;0,0346228331327438;0,0439999997615814;0,0830315947532654;0,0960323512554169;0,0560220964252949;"Australia";"AU";NA
"38";1907;193;4127;4616,42839835231;19,6370346780075;27,1731;647,86;0,133829;2,583333;41,7319;94;143;112,7;313,2;3,19;3,5348667;0,412483;26;12;0,411969534396469;1;1;0;194,662;11,838;11,838;182,824;0,626666797618133;"PEG";"GBR";0,0879999995231628;0,116444498300552;-0,0325724110007286;0,0318999998271465;NA;NA;0,0789479538798332;0,0374965444207191;0,0347528755664825;0,046000000089407;0,0401529632508755;NA;NA;NA;0,0353486686944962;0,0419999994337559;0,0756267458200455;0,110438384115696;-0,000336205586791039;"Australia";"AU";NA
"39";1908;193;4197;4693,11412913986;19,9688141779147;25,6892;645,46;0,141791;2,666667;25,9683;91;127;111,9;324,2;3,19;3,5890917;0,423596;30;13;0,414802992081499;1;1;0;206,832;12,012;12,012;194,82;0,657235909697067;"PEG";"GBR";0,172999992966652;0,0845434218645096;0,0517067201435566;0,0318999998271465;NA;NA;0,0487802922725677;0,0357631333172321;0,0340997390449047;0,126000002026558;0,0417406745254993;NA;NA;NA;0,03589091822505;0,0469999983906746;0,084433875977993;0,103203281760216;0,0418033599853516;"Australia";"AU";NA
"40";1909;193;4278;4980,59841047218;21,2156694736309;25,2685;690;0,1308901;2,708333;13,2355;93;128;113,2;337,6;3,13;3,71705;0,406307;28;15;0,413555153510101;1;1;0;203,224;13,536;13,536;189,688;0,6648781877168;"PEG";"GBR";0,135000005364418;0,0472684502601624;0,025407500565052;0,031300000846386;NA;NA;0,0116274822503328;0,0356409661471844;0,035231314599514;0,0900000035762787;0,041284404695034;NA;NA;NA;0,0371704995632172;0,0450000017881393;0,0554516166448593;0,0668073892593384;0,028353750705719;"Australia";"AU";NA
"41";1910;193;4375;5209,82857142857;22,2142468214299;25,438;750,22;0,130016;2,75;24,1821;109;147;130,2;368;3,13;3,771925;0,387713;32;26;0,413959967342334;1;1;0;207,768;13,564;13,564;194,204;0,672520465736533;"PEG";"GBR";0,0670000016689301;0,0493913106620312;0,0339974611997604;0,031300000846386;NA;NA;0,0114938383921981;0,0378974713385105;0,0374668352305889;0,025000000372529;0,0409756079316139;NA;NA;NA;0,0377192497253418;0,0419999994337559;0,0472647957503796;0,0533622801303864;0,0326487310230732;"Australia";"AU";NA
"42";1911;193;4500;5103,77777777778;21,7490672663433;27,6266;823,68;0,1432749;2,958333;16,0617;122;156;147,2;410,7;3,25;3,7424667;0,258879;38;30;0,414655886243901;1;1;0;231,588;14,23;14,23;217,358;0,718374133854933;"PEG";"GBR";0,10700000077486;0,10847332328558;0,0262240655720234;0,0324999988079071;NA;NA;0,0681823566555977;0,040290966629982;0,0377191826701164;0,061999998986721;0,0423728860914707;NA;NA;NA;0,0374246686697006;0,0450000055134296;0,0905156806111336;0,108155988156796;0,0293620321899652;"Australia";"AU";NA
"43";1912;193;4661;5098,47672173353;21,7256868317861;27,3037;883,88;0,1689373;3,208333;-36,0315;142;155;150,9;435,2;3,38;4,2347333;0,373647;42;34;0,414164735807889;1;1;0;256,664;17,89;17,89;238,774;0,764227801973333;"PEG";"GBR";0,0860000029206276;0,103664539754391;0,00478651933372021;0,0337999984622002;NA;NA;0,0638302639126778;0,039834275841713;0,0374442040920258;0,0359999984502792;0,0482625477015972;NA;NA;NA;0,0423473343253136;0,0500000007450581;0,0768234059214592;0,100015245378017;0,0192932598292828;"Australia";"AU";NA
"44";1913;193;4821;5156,8139390168;21,9828716119156;28,0439;965,78;0,1832918;3,166667;-42,0521;145;154;143,4;440;3,3;4,549142;0,370718;44;36;0,413849439716475;1;1;0;247,38;21,03;21,03;226,35;0,817723748111467;"PEG";"GBR";0,0889999940991402;0,108604028820992;0,0467122755944729;0,0329999998211861;NA;NA;0,0700000524520874;0,0386039800941944;0,0360784828662872;0,0379999987781048;0,0491329468786716;NA;NA;NA;0,0454914197325706;0,0509999990463257;0,0862331613898277;0,104686953127384;0,0398561358451843;"Australia";"AU";NA
"45";1914;193;4933;5026,75856476789;21,415567128395;26,9714;1040,44;0,1724537;3,333333;-22,4794;NA;NA;159,3;478,7;3,3;4,3560916;0,381482;44;64;0,409669841699706;0;0;0;252,826;22,17;22,17;230,656;0,833008304150934;"FLOAT";"HYBRID";0,113999992609024;0,0543048530817032;0,0346746183931828;0,0329999998211861;NA;NA;0,0186909027397633;0,0356139503419399;0,0349605083465576;0,0590000003576279;0,051935788244009;NA;NA;NA;0,0435609146952629;0,0549999997019768;0,0562028251588345;0,0655581876635551;0,0338373109698296;"Australia";"AU";NA
"46";1915;193;4971;4896,60028163347;20,8567646210772;25,2199;1009,12;0,1527446;3,708333;-82,6498;116;116;164;507,2;3,39286;4,75;0,443556;44;128;0,427269355729084;0;0;0;256,814;22,708;22,708;234,106;0,855935138210133;"FLOAT";"HYBRID";-0,0350000001490116;0,0615716427564621;0,0152994766831398;0,0347300805151463;NA;NA;0,0275231450796127;0,0340484976768494;0,0331364758312702;-0,0830000042915344;0,0523446053266525;NA;NA;NA;0,0474999994039536;0,0480000041425228;0,03758929297328;0,043293122202158;0,025014778599143;"Australia";"AU";NA
"47";1916;193;4955;4878,30474268416;20,7790322672246;25,0483;1166,88;0,124871;3,791667;-139,2182;140;128;207,5;557,1;3,5;5,16;0,460578;62;162;0,42591712884425;0;0;0;289,09;22,414;22,414;266,676;0,886504250289067;"FLOAT";"HYBRID";-0,034000001847744;0,0691464990377426;0,0386851280927658;0,035248439759016;NA;NA;0,0357141606509686;0,0334323383867741;0,0322795026004314;-0,0839999988675117;0,0545851513743401;NA;NA;NA;0,0516000017523766;0,0499999970197678;0,045810129493475;0,0504421591758728;0,0369667857885361;"Australia";"AU";NA
"48";1917;193;4950;4791,11111111111;20,4080829483838;21,6011;1230,7;0,1164384;4,041667;-30,2684;138;173;245;613,9;3,60714285714286;5,18;0,512035;68;174;0,424509066259656;0;0;0;276,202;28,268;28,268;247,934;0,917073362368;"FLOAT";"HYBRID";0,155000001192093;0,0676191225647926;0,0520074889063835;0,0368035212159157;NA;NA;0,0344826430082321;0,0331364795565605;0,0320319347083569;0,0949999988079071;0,0547945201396942;NA;NA;NA;0,0518000014126301;0,0599999986588955;0,0692937672138214;0,0838131234049797;0,0444055050611496;"Australia";"AU";NA
"49";1918;193;5032;4601,55007949126;19,5872373888207;21,3702;1278,86;0,1007533;4,333333;-58,8986;111;150;261,2;658,6;3,64285714285714;5,07;0,61629;74;214;0,424438120878588;0;0;0;320,696;39,91;39,91;280,786;0,9858538645456;"FLOAT";"HYBRID";0,0750000029802322;0,108689323067665;0,0128306625410914;0,0373218804597855;NA;NA;0,0750005692243576;0,0336887575685978;0,0313383638858795;0,0189999993890524;0,0549558401107788;NA;NA;NA;0,0507000014185905;0,0560000017285347;0,0714307650923729;0,102533891797066;0,0250762719660997;"Australia";"AU";NA
"50";1919;193;5193;4715,5786635856;20,0881454867587;22,6671;1378,82;0,1213974;4,875;-135,103704;173;214;277,4;727,8;3,64285714285714;5,6;0,606288;90;194;0,457375055638418;0;0;0;382,842;27,942;27,942;354,9;1,11577259088107;"FLOAT";"HYBRID";0,187000006437302;0,165687248110771;0,0403270944952965;0,0373218804597855;NA;NA;0,131780162453651;0,0339070819318295;0,0299590714275837;0,126000002026558;0,0541740693151951;NA;NA;NA;0,0560000017285347;0,0610000006854534;0,11990512907505;0,169525220990181;0,038824487477541;"Australia";"AU";NA
"51";1920;193;5358;4765,58417319895;20,3079822999981;22,7858;1508,86;0,1644054;4,958333;46,4956;180;288;307,8;777,5;3,78571428571429;6,28;0,612051;106;186;0,55941173228896;0;0;0;350,508;28,556;28,556;321,952;1,260975873256;"FLOAT";"HYBRID";0,0810000002384186;0,16225853562355;0,0225702282041311;0,039395309984684;NA;NA;0,130143314599991;0,0321152172982693;0,0284169409424067;0,025000000372529;0,0546341463923454;NA;NA;NA;0,0627999976277351;0,0560000017285347;0,105224639177322;0,150024384260178;0,0309827700257301;"Australia";"AU";NA
"52";1921;193;5461;4910,82219373741;20,9387479630311;24,1007;1664,2;0,1758321;4,5;-288,443;298;254;301,1;814,9;3,875;7,05;0,59081;132;156;0,529754995148583;0;0;0;412,77;26,804;26,804;385,966;1,32211409741387;"FLOAT";"HYBRID";0,199000000953674;0,0785017237067223;0,0952044501900673;0,0408467203378677;NA;NA;0,0484781675040722;0,0300235543400049;0,0286353640258312;0,126000002026558;0,0648312643170357;NA;NA;NA;0,0705000013113022;0,073000006377697;0,0885395854711533;0,100261300802231;0,0680255889892578;"Australia";"AU";NA
