"";"SE_real_gdp_index_ts"
"1";17.4865204097157
"2";18.3960264226527
"3";18.6568966927722
"4";19.1714295743603
"5";20.2278691900663
"6";21.1236643248301
"7";21.8487534066468
"8";22.3065010906269
"9";22.5787783822898
"10";23.8369143232686
"11";24.8787737002774
"12";26.4286617446594
"13";27.3352266921347
"14";28.7247649983024
"15";31.0491531603104
"16";32.4984839699051
"17";33.1982627098606
"18";34.6504814118054
"19";36.0189957715311
"20";38.0406566144344
"21";39.809042875106
"22";40.0936606491593
"23";41.4092150125737
"24";43.2334588974775
"25";44.5006512077932
"26";47.5603775226533
"27";48.7815716242663
"28";47.6982862142389
"29";48.257307114728
"30";50.4748021224138
"31";50.3875703708236
"32";49.1124844387378
"33";49.559238914057
"34";51.0383908703975
"35";53.1065229816341
"36";53.825392003838
"37";56.4606963621487
"38";58.6160125673463
"39";60.5633121838727
"40";62.9617466745732
"41";62.8526562616019
"42";61.6531116437099
"43";60.3701274885775
"44";57.9355890405425
"45";60.5176158769168
"46";63.7295203030016
"47";65.072112392
"48";67.6485322134072
"49";71.1717659400318
"50";74.7332433784498
"51";78.7199975138744
"52";80.0001102991023
"53";81.2135771153519
"54";83.0094743587479
"55";86.6477350122038
"56";89.3892755624384
"57";94.0219703589813
"58";97.8597988672456
"59";97.2033519450385
"60";94.618714442849
"61";100
"62";101.231831008303
"63";101.124177124173
"64";103.504974679806
"65";108.276959572924
"66";115.561399023027
"67";120.020729844786
