"";"NO_rolling_plot_P_G";"NO_rolling_plot_P_R";"NO_rolling_plot_G_R"
"1";0,00636670602148821;-0,439148375934764;-0,901192269978324
"2";-0,223168221532088;-0,802766374385002;-0,402103173854293
"3";-0,119300753907699;-0,897268447930068;-0,331287551249852
"4";0,022161953423063;-0,87868317675984;-0,496761438883374
"5";-0,0979223183334579;-0,820538891157124;-0,488494599409663
"6";-0,200165489197764;-0,813928860902931;-0,406286581075497
"7";-0,488813023654274;-0,788675971710418;-0,150837336350188
"8";-0,721644790270799;-0,810230744002545;0,178955502831828
"9";-0,956971477320194;-0,980326194346061;0,880866842868085
"10";-0,928914526897917;-0,973778229373284;0,820315046650566
"11";-0,770146614127182;-0,895993559495123;0,406790732539586
"12";-0,72227130139442;-0,274680281155523;-0,466613807581185
"13";-0,912347435591665;0,486286567443796;-0,801410496117886
"14";-0,78674026297444;-0,147790587686401;-0,494232776442698
"15";-0,775794293209896;-0,0898347598148899;-0,558741337122934
"16";-0,475245522482101;0,000372149726913249;-0,880030024137233
"17";0,0919480381168963;-0,449120903089539;-0,930981862333464
"18";0,477140412888168;-0,744059993479991;-0,942176718011633
"19";0,337788513368919;-0,745689235664334;-0,879015761011563
"20";0,354175495988486;-0,755884396633601;-0,879982184180989
"21";0,298736489008999;-0,695239020427333;-0,893649316878735
"22";-0,529524363020244;-0,0154921321847007;-0,839989464487877
"23";-0,873603475737763;0,0946261191072812;-0,567120538060166
"24";-0,894586980785855;0,19155474378427;-0,609980641218689
"25";-0,884848436458835;0,271292808695243;-0,688460095690286
"26";-0,843921428001361;0,19571671875858;-0,691261315545075
"27";-0,73575166283088;0,114945515199222;-0,757333817999165
"28";-0,675851948215158;0,0491550720626089;-0,769368000234252
"29";-0,827434878251507;0,494643487887462;-0,897336273349097
"30";-0,921596584917354;0,638185264936177;-0,886978697927273
"31";-0,968644160726637;0,906574702943403;-0,983006392030331
"32";-0,612526758550528;0,311882988884372;-0,942059301026526
