"";"NO_rolling_plot_P_G";"NO_rolling_plot_P_R";"NO_rolling_plot_G_R"
"1";0,923024730239646;-0,972831674055931;-0,987020369497111
"2";0,879942411643836;-0,963413541671287;-0,975079144114117
"3";0,489554458690839;-0,809519330754825;-0,908233075339149
"4";0,508515890329118;-0,746046763814698;-0,952746014535194
"5";-0,651961345914452;0,0454250393445411;-0,787084867103677
"6";0,0548147328394368;-0,943308223007951;-0,383126220247678
"7";0,467458978703064;-0,94794120371868;-0,724634064233185
"8";0,243405226053651;-0,794734658315402;-0,782145165013956
"9";-0,95454848000355;-0,970228181458676;0,853942938780161
"10";-0,78281778308456;-0,97361637847581;0,62017211436193
"11";-0,774080950361973;-0,977059404815799;0,62149654722601
"12";-0,906443639361444;-0,889618025613531;0,613509694128807
"13";-0,986568372735318;-0,82242583126028;0,718454672011645
"14";-0,953845629686407;-0,415440995228082;0,123110041478152
"15";-0,992173875805959;0,325793150907941;-0,44129493643142
"16";-0,891250711406321;0,583371605724588;-0,888274378237633
"17";-0,887498657763678;0,623174813220462;-0,913458515550861
"18";0,284708506218196;-0,787435850445644;-0,815076190348466
"19";0,707787786921051;-0,928912835247526;-0,919061288817179
"20";0,698026735394262;-0,812463576826346;-0,984599656629828
"21";0,736115960093764;-0,8689833143034;-0,974608574665243
"22";0,0620707077679498;-0,474658949679488;-0,907935036186343
"23";-0,922919591688629;0,607439935981025;-0,866443228865123
"24";-0,746086674081432;0,208141643156179;-0,806557585304911
"25";-0,867483473899919;0,534737802089223;-0,884243950174134
"26";-0,945278281998629;0,711378900538457;-0,901753031926179
"27";-0,742345440232435;-0,309695453569222;-0,40717547639599
"28";-0,693779498742287;-0,770248529361871;0,0750875106287438
"29";-0,750030886612442;0,260448531148375;-0,833920736574745
"30";-0,896875879118938;0,568529736300674;-0,873749786609737
"31";-0,998107907150632;0,994746644672536;-0,999158726617515
"32";-0,997583806362255;0,991771562067002;-0,998269243926723
"33";-0,933422449852616;0,850087479949512;-0,982438768031647
"34";-0,935310298478469;0,69128059102491;-0,902233566417599
"35";-0,929544434040166;0,763359520991719;-0,947753690793932
"36";-0,0967592999756727;-0,315882797343473;-0,913781678652799
